generation, worst, medium, best
0,180711,160010,140390
1,180756,153290,137791
2,171806,148360,127100
3,166961,143708,126405
4,165028,139222,119508
5,158350,135176,116797
6,155532,130369,115589
7,143597,126055,107211
8,140355,122083,106980
9,142969,118767,102255
10,131938,115503,98750.8
11,132462,112448,98313.9
12,136058,109153,96509.4
13,128767,106181,93422.4
14,123732,104530,92099
15,119341,102284,90552.3
16,117746,99955.9,87982.1
17,115193,97797.3,88873.4
18,112347,96075.3,83690.5
19,111937,94789.5,80778.7
20,109048,92532.3,80778.7
21,107358,90679.8,80778.7
22,106668,88812.1,78537.9
23,100478,87017.2,76940.2
24,101570,85297.8,75771.9
25,100303,83023.9,75000.4
26,97364.1,81470.4,74146.3
27,97954.4,79668.7,73245
28,95053.6,78412.3,68421.5
29,93525.4,76687.4,68421.5
30,93666.8,74735.4,67272.7
31,91284.8,73113.5,64985.3
32,90465.4,70839.4,63607
33,84833.3,68871.8,63355.4
34,76862,66939.5,61816.9
35,79686,64889.8,60840.3
36,76186.7,63189.5,59933.8
37,75634.9,61823.2,58739.7
38,73414.5,60303.6,57317.9
39,71124.1,58983.6,56075.2
40,71843.5,58060.8,55275.7
41,69518,56967,54066.4
42,68749.1,56141.6,53781.8
43,68158.6,55275.7,52499.2
44,68740,54261.9,52025.7
45,67254.1,52982.2,51670.2
46,67471.7,52352.9,51612.3
47,65274.7,52025.1,51391.6
48,67268.6,51670.2,51135.3
49,65682.4,51612.3,51077.4
50,65802.9,51333.7,50542.2
51,66921.9,51170.7,50192.6
52,62534.3,50857.3,49986.7
53,63580,50497.4,49744.7
54,62313.4,50192.6,49402.8
55,63367.8,49915.7,49223.2
56,66419.6,49618,48988.5
57,61390.5,49281.1,48936.3
58,62245.7,49157.6,48224.7
59,63128.9,48994.2,48022
60,66297,48988.5,47892.8
61,62761,48750.4,47506.7
62,66837.3,48485.8,47136
63,61910.3,48219.5,46882.2
64,62272.9,47506.7,46512.7
65,59689.5,47339.7,46182.1
66,59711.9,46889.2,45669.5
67,61525.2,46654.8,45573.4
68,62604,46215.5,45254.8
69,61179.7,46000.1,44957.9
70,60387.8,45550.9,44782.5
71,57286.2,45137,44562.2
72,60207.1,44861.4,44348.8
73,58564.1,44739.2,44168.8
74,58589.8,44593.5,43935.2
75,59775,44348.8,43558.6
76,58672.4,44212.5,43154.2
77,57446.4,43857.7,42672.6
78,57297.6,43406.9,42207.9
79,56505.3,42884.1,41774.7
80,56607.2,42360.6,41712.5
81,55034,41852.3,41712.5
82,55572,41774.7,41436.5
83,53973.1,41712.5,41374.3
84,55616.4,41712.5,41289.7
85,54771.5,41550.6,41201.8
86,55772.2,41351.9,41117.2
87,55523.2,41289.7,41117.2
88,55572.7,41131.2,41117.2
89,52007.1,41117.2,41011
90,55151.3,41117.2,41011
91,55034.3,41117.2,41011
92,55286,41117.2,40704.3
93,53860.1,41011,40704.3
94,53617,41011,40232.3
95,56853,41011,40065.2
96,58056.4,40949.6,39709.8
97,53749.8,40704.3,39618.4
98,58246.3,40431,39451.3
99,59896,40065.2,39385.4
