generation,best,worst,bestEver,temperature
1,31244.2,31896.3,31244.2,1500
2,30861.4,31883.7,30861.4,1492.5
3,30808.8,31444.1,30808.8,1485.04
4,30774.8,31509.3,30774.8,1477.61
5,29876.5,30988.1,29876.5,1470.22
6,29632.9,30310.2,29632.9,1462.87
7,28172.2,31229.5,28172.2,1455.56
8,27816,29475.2,27816,1448.28
9,27924.5,29056.2,27816,1441.04
10,26922,28642.8,26922,1433.83
11,26428,28418.7,26428,1426.67
12,25790.6,27423.8,25790.6,1419.53
13,25227.9,28488.3,25227.9,1412.43
14,24160.2,25191.2,24160.2,1405.37
15,23947,25482.4,23947,1398.35
16,22829.4,25370.8,22829.4,1391.35
17,22943.8,24015.5,22829.4,1384.4
18,22904.5,24064.8,22829.4,1377.47
19,22852.4,24740,22829.4,1370.59
20,22637.1,23665.2,22637.1,1363.73
21,22660.5,25208.4,22637.1,1356.92
22,22493.9,24012.3,22493.9,1350.13
23,21714.9,23662,21714.9,1343.38
24,21531.9,22559.5,21531.9,1336.66
25,21531.9,22334,21531.9,1329.98
26,21072.3,22993.8,21072.3,1323.33
27,21190.6,23317.9,21072.3,1316.71
28,21185.5,22736.5,21072.3,1310.13
29,21284,22824.9,21072.3,1303.58
30,21412.1,23894.3,21072.3,1297.06
31,20930.3,22243.8,20930.3,1290.58
32,21032.5,23195.6,20930.3,1284.12
33,21109.6,23688.8,20930.3,1277.7
34,21853.1,22637.5,20930.3,1271.31
35,21853.1,23024,20930.3,1264.96
36,22432.8,23202,20930.3,1258.63
37,22429.8,24832.2,20930.3,1252.34
38,22276.1,24359.5,20930.3,1246.08
39,22348.6,24306.5,20930.3,1239.85
40,21697,23745.8,20930.3,1233.65
41,21580.4,23431.3,20930.3,1227.48
42,21347,22620.8,20930.3,1221.34
43,20426.3,23367.5,20426.3,1215.24
44,20353.3,21744.8,20353.3,1209.16
45,20350.7,21637.7,20350.7,1203.11
46,20290.6,21845.6,20290.6,1197.1
47,20175.5,20873.3,20175.5,1191.11
48,20296.7,20969.3,20175.5,1185.16
49,20160.4,23097.7,20160.4,1179.23
50,20511.2,20868.6,20160.4,1173.34
51,20341.2,21057.9,20160.4,1167.47
52,20206.2,21116.8,20160.4,1161.63
53,20135.9,21975.1,20135.9,1155.82
54,20041.6,22788.6,20041.6,1150.04
55,19950.5,21175.7,19950.5,1144.29
56,20060,22259.6,19950.5,1138.57
57,19355.2,21179.4,19355.2,1132.88
58,19522,20966.3,19355.2,1127.22
59,19194.5,22701.5,19194.5,1121.58
60,19157.9,22073.4,19157.9,1115.97
61,19736,22118.2,19157.9,1110.39
62,20611.7,22198.5,19157.9,1104.84
63,20235,21193.8,19157.9,1099.32
64,20800.2,23649.9,19157.9,1093.82
65,21028.2,23427.7,19157.9,1088.35
66,21159.7,23122.2,19157.9,1082.91
67,21159.7,22888.2,19157.9,1077.49
68,21446.6,23058.3,19157.9,1072.11
69,21314.6,23082.3,19157.9,1066.75
70,21048.4,23884.4,19157.9,1061.41
71,21048.4,22888.1,19157.9,1056.1
72,20459,22858.1,19157.9,1050.82
73,19877.8,25322.2,19157.9,1045.57
74,19752.2,22890.1,19157.9,1040.34
75,19160.5,20682,19157.9,1035.14
76,18975.8,19878.7,18975.8,1029.96
77,19142.5,21817.2,18975.8,1024.81
78,18574.3,19799.6,18574.3,1019.69
79,18165.2,21359,18165.2,1014.59
80,18516.7,21002.3,18165.2,1009.52
81,18609.3,22501.8,18165.2,1004.47
82,18927.6,21633.4,18165.2,999.45
83,18863.4,20507.1,18165.2,994.452
84,18834.8,19690.8,18165.2,989.48
85,18718.2,20696.5,18165.2,984.533
86,18541.8,19974,18165.2,979.61
87,18294.9,19795.4,18165.2,974.712
88,18094.8,19184.5,18094.8,969.838
89,18094.8,19394.7,18094.8,964.989
90,18183.4,19687.1,18094.8,960.164
91,18224.8,21501.9,18094.8,955.363
92,18078.7,19851.7,18078.7,950.587
93,18191,20181.5,18078.7,945.834
94,18856.6,19051.3,18078.7,941.104
95,18952.1,20608.4,18078.7,936.399
96,18575.1,21215.7,18078.7,931.717
97,18012.7,20207,18012.7,927.058
98,17917.2,20447.7,17917.2,922.423
99,17787.4,20243.7,17787.4,917.811
100,17377.9,21153.1,17377.9,913.222
101,17587.7,18856.7,17377.9,908.656
102,17951.6,20554.4,17377.9,904.113
103,18409.4,21010.4,17377.9,899.592
104,18469.9,20096,17377.9,895.094
105,18257.1,19966.7,17377.9,890.619
106,18008.8,18567.1,17377.9,886.165
107,18027.3,20810,17377.9,881.735
108,17950,19724,17377.9,877.326
109,17865.4,19175.2,17377.9,872.939
110,17860.5,19439.8,17377.9,868.575
111,17914.8,22156.1,17377.9,864.232
112,17914.8,21634.9,17377.9,859.911
113,18007.4,19276.7,17377.9,855.611
114,18277.6,21156.1,17377.9,851.333
115,18439.1,21085.8,17377.9,847.076
116,18412.7,19569.1,17377.9,842.841
117,18681.1,21870.1,17377.9,838.627
118,18158,20103.7,17377.9,834.434
119,18207.4,21386.2,17377.9,830.261
120,18285,19138.7,17377.9,826.11
121,18131.2,21533.5,17377.9,821.98
122,17971.8,19640,17377.9,817.87
123,17971.8,18828.5,17377.9,813.78
124,18112,19900.2,17377.9,809.711
125,18112,23268.5,17377.9,805.663
126,18077.6,20630.4,17377.9,801.635
127,17618.6,18700.7,17377.9,797.626
128,17732.6,20286.5,17377.9,793.638
129,18045.5,19861.3,17377.9,789.67
130,18045.5,19235.7,17377.9,785.722
131,17880.3,20174.3,17377.9,781.793
132,17873.3,18733.6,17377.9,777.884
133,17829,20101.4,17377.9,773.995
134,17829,20054.9,17377.9,770.125
135,17700.6,18681.4,17377.9,766.274
136,17338,19729.5,17338,762.443
137,17338,19195.8,17338,758.631
138,17215.5,19461.2,17215.5,754.837
139,17324.5,18976,17215.5,751.063
140,17078.4,19682.8,17078.4,747.308
141,17078.4,18637,17078.4,743.571
142,16733.5,21045.8,16733.5,739.854
143,16721.8,18624.9,16721.8,736.154
144,16524.3,18929.7,16524.3,732.474
145,16431.9,18063.4,16431.9,728.811
146,17140.2,17435.1,16431.9,725.167
147,16697.7,20769.9,16431.9,721.541
148,16651.9,19984.7,16431.9,717.934
149,17112.2,20098.8,16431.9,714.344
150,17244.5,20421.3,16431.9,710.772
151,17205.7,18956.6,16431.9,707.218
152,16935.8,20089.7,16431.9,703.682
153,16988.6,20554.9,16431.9,700.164
154,17091.6,18542.9,16431.9,696.663
155,17092.5,18769,16431.9,693.18
156,17265.4,18072,16431.9,689.714
157,17265.4,19026.5,16431.9,686.265
158,17271.9,18793.8,16431.9,682.834
159,17161.6,20301.4,16431.9,679.42
160,17409,19658.8,16431.9,676.023
161,17398.2,19174.7,16431.9,672.643
162,17545.5,19050.1,16431.9,669.279
163,17839.8,20041.4,16431.9,665.933
164,18076.7,20369.4,16431.9,662.603
165,16296.3,20225.1,16296.3,659.29
166,16156.9,17686.8,16156.9,655.994
167,16327.9,18757.4,16156.9,652.714
168,16459,19464.7,16156.9,649.45
169,16424.5,17999.9,16156.9,646.203
170,16144.8,18092.3,16144.8,642.972
171,16020.2,17355.3,16020.2,639.757
172,15881.4,18103.8,15881.4,636.558
173,15881.4,18528.5,15881.4,633.376
174,15784.9,18340.4,15784.9,630.209
175,16465.3,19006.6,15784.9,627.058
176,16143.2,19895.7,15784.9,623.922
177,16082.1,18939,15784.9,620.803
178,16181.9,17823.8,15784.9,617.699
179,15859.9,19911.3,15784.9,614.61
180,15327.6,17772,15327.6,611.537
181,15241.7,17544.5,15241.7,608.48
182,15252.5,17323.1,15241.7,605.437
183,15261.2,18083.3,15241.7,602.41
184,15261.2,17307.1,15241.7,599.398
185,15028.2,16561.4,15028.2,596.401
186,14966,17775.1,14966,593.419
187,14871.1,16718.8,14871.1,590.452
