generation,best,worst,bestEver
0,31656.8,31656.8
1,30898.2,30898.2,32956.5
2,30392.9,30392.9,31442.6
3,29981.3,29981.3,30980
4,29429.8,29429.8,30768.3
5,28682.3,28682.3,30358.7
6,27889.7,27889.7,29715
7,27816,27816,29160.8
8,27447,27447,29321.5
9,27100.6,27100.6,28656
10,26532.3,26532.3,28521.7
11,26383.8,26383.8,28076.4
12,26080.4,26080.4,28958.7
13,25900.6,25900.6,27727.7
14,25600.3,25600.3,27534.1
15,24477.2,24477.2,27205.8
16,24100.9,24100.9,25542.3
17,24056.2,24056.2,25674.5
18,23827,23827,26575.2
19,23390.6,23390.6,26796.1
20,22939.4,22939.4,25864.4
21,22886.4,22886.4,25903.9
22,22815.6,22815.6,25339.5
23,22860.7,22815.6,24660.3
24,22327.2,22327.2,24812.5
25,22468.2,22327.2,24427.9
26,22349.6,22327.2,25006.3
27,22218.3,22218.3,24718.4
28,22035,22035,23949.8
29,21798,21798,24390
30,21402.1,21402.1,24727.5
31,21505,21402.1,23397.8
32,21363.5,21363.5,23715.7
33,21413.4,21363.5,24925.2
34,21223.4,21223.4,23493.5
35,21224.8,21223.4,22912.9
36,20645,20645,22890.2
37,20323.7,20323.7,21897.8
38,20196.6,20196.6,22958.9
39,19958.1,19958.1,22903.6
40,19696.7,19696.7,21893.5
41,19537.6,19537.6,22332
42,19661.2,19537.6,21440.1
43,19677.4,19537.6,22574.7
44,19586.3,19537.6,21537.4
45,19578.7,19537.6,22194.4
46,19503.5,19503.5,23587.7
47,19586.9,19503.5,22903.2
48,19791.9,19503.5,23055.8
49,19850.4,19503.5,21608
50,19766.9,19503.5,22134.4
51,19787,19503.5,22316.2
52,19808.1,19503.5,22145.4
53,19510.9,19503.5,22516.2
54,19530.7,19503.5,22491.9
55,19335,19335,21997.2
56,19371.6,19335,21918.7
57,18900.3,18900.3,21325.2
58,18915.7,18900.3,22105.3
59,19023.1,18900.3,22560.2
60,19079.7,18900.3,21709.7
61,19023.1,18900.3,21715
62,18961.9,18900.3,21243.2
63,18793.1,18793.1,22127.8
64,18738.8,18738.8,21374.3
65,18839.9,18738.8,21246.8
66,18576.9,18576.9,20487.9
67,18572.6,18572.6,21735
68,18561.6,18561.6,21104.8
69,18645.5,18561.6,20885
70,18665.8,18561.6,21944.7
71,18807,18561.6,21015
72,18648,18561.6,20586.8
73,18875.5,18561.6,20881.1
74,18707.1,18561.6,21599.8
75,18706,18561.6,21995.7
76,18747.3,18561.6,20995.5
77,18884.3,18561.6,22016.9
78,18958.2,18561.6,20360.5
79,18862.2,18561.6,21175.5
80,18877.1,18561.6,21397.3
81,18853.6,18561.6,21705.7
82,18881.6,18561.6,21707.4
83,18881.5,18561.6,20452.4
84,18879.7,18561.6,21314.6
85,18886.5,18561.6,22141.2
86,18853.2,18561.6,20889.5
87,18872.3,18561.6,20679.5
88,18695.2,18561.6,22120.1
89,18559.2,18559.2,20685.2
90,18592.4,18559.2,20697
91,18636.5,18559.2,22259.4
92,18427.8,18427.8,22185.3
93,18509,18427.8,21040
94,18130.5,18130.5,20200.6
95,18360.3,18130.5,20958.1
96,18373.2,18130.5,20543
97,18535.4,18130.5,21316.1
98,18573.1,18130.5,20734.5
99,18533.6,18130.5,20881
100,18535.4,18130.5,22914.1
101,18399.3,18130.5,20331.4
102,18314.5,18130.5,22021.4
103,18373.3,18130.5,21550.4
104,18450.4,18130.5,19995.5
105,18465.6,18130.5,21686.2
106,18280.4,18130.5,21701.4
107,18166,18130.5,20400.9
108,18130.6,18130.5,20409.7
109,18202.6,18130.5,20465.2
110,17893.3,17893.3,19948.1
111,17881.4,17881.4,20436.4
112,17918.9,17881.4,19580.7
113,17852.7,17852.7,20390.9
114,17683.5,17683.5,20462.2
115,17940,17683.5,19495.3
116,18006.2,17683.5,20206.3
117,17940,17683.5,19990.8
118,17852.8,17683.5,19934.7
119,17707,17683.5,21264.4
120,17643.7,17643.7,19825.8
121,17647.6,17643.7,20528.1
122,17687.6,17643.7,20464.3
123,17742.1,17643.7,21171.7
124,17764.3,17643.7,21272.9
125,17938.9,17643.7,20602.9
126,17941,17643.7,20035.2
127,17652.4,17643.7,21982.6
128,17666.3,17643.7,21139
129,17772.7,17643.7,20203.6
130,17741.3,17643.7,21138.2
131,17752.8,17643.7,22018.3
132,17903.7,17643.7,19550.1
133,17655.9,17643.7,21082.5
134,17310.1,17310.1,21947.2
135,17371.3,17310.1,21164.4
136,17460.5,17310.1,21188.8
137,17656,17310.1,19955.2
138,17591.9,17310.1,19312.5
139,17601.3,17310.1,19079.6
140,17497.5,17310.1,19836.1
141,17478.6,17310.1,20222.9
142,17445.6,17310.1,20434.4
143,17425.7,17310.1,21968.2
144,17426.7,17310.1,21165.9
145,17435,17310.1,21076.6
146,17435.9,17310.1,20840.5
147,17611.2,17310.1,20135.6
148,17263.7,17263.7,20283.7
149,17311.4,17263.7,20759.6
150,17165.8,17165.8,21718.1
151,17255.9,17165.8,20750.1
152,17215.8,17165.8,19482
153,17168.1,17165.8,20784.4
154,16923.1,16923.1,20586.5
155,16896.8,16896.8,20103.9
156,16835.4,16835.4,20996.3
157,16831.6,16831.6,21933.4
158,16906.1,16831.6,20349.9
159,16740.2,16740.2,20862.8
160,16853.6,16740.2,21487.3
161,16879.3,16740.2,19533.8
162,16760.3,16740.2,19403.9
163,16747.8,16740.2,20190.6
164,16705.1,16705.1,21787.9
165,16661.2,16661.2,19816.8
166,16641.5,16641.5,19561.2
167,16499.4,16499.4,19397.5
168,16488.2,16488.2,19877.5
169,16399.7,16399.7,19232
170,16292.7,16292.7,18320.2
171,16617.6,16292.7,19019.9
172,16584.7,16292.7,20467.9
173,16578.4,16292.7,19983.6
174,16491.9,16292.7,18800.2
175,16594.3,16292.7,20382
176,16545.9,16292.7,19520.8
177,16605.7,16292.7,18750.3
178,16556.6,16292.7,19105
179,16488.8,16292.7,18727.1
180,16476.5,16292.7,19737.6
181,16699.1,16292.7,20966.6
182,16439.4,16292.7,19925.8
183,16584,16292.7,21249.6
184,16417.9,16292.7,19136.1
185,16464.5,16292.7,19916.8
186,16675.7,16292.7,18969.4
187,16663,16292.7,19966.6
188,16589.6,16292.7,19254.3
189,16270.8,16270.8,20342
190,16244.6,16244.6,19842.6
191,16225.3,16225.3,19834.5
192,16291.5,16225.3,20564.5
193,16302.8,16225.3,20364.3
194,16318.8,16225.3,19178.2
195,16439.5,16225.3,19887.5
196,16426.5,16225.3,19006.7
197,16750.7,16225.3,19627.3
198,16734.7,16225.3,20292.7
199,16608.2,16225.3,21224.2
200,16437.9,16225.3,19598.6
201,16485,16225.3,20449.1
202,16506,16225.3,19835.5
203,16587.6,16225.3,18802.4
204,16616.4,16225.3,20003.6
205,16561.6,16225.3,19863.5
206,16505.1,16225.3,19066.7
207,16577.2,16225.3,19559.6
208,16796.2,16225.3,20455.8
209,16789.5,16225.3,19468.3
210,16664.1,16225.3,20834.2
211,16668.5,16225.3,19382.9
212,16627.4,16225.3,18721.7
213,16529.2,16225.3,19141.6
214,16502.3,16225.3,20039.4
215,16348.3,16225.3,18616.8
216,16239,16225.3,19243.6
217,16290.7,16225.3,18775
218,16189.1,16189.1,19293.3
219,16097.1,16097.1,19054.2
220,16159.7,16097.1,19822.4
221,16022,16022,20217.7
222,15921.2,15921.2,19051.1
223,15773.9,15773.9,19228.9
224,15685.6,15685.6,19130.6
225,15690.2,15685.6,19446
226,15819.1,15685.6,17716.6
227,15777.8,15685.6,19912.2
228,15741.5,15685.6,19195.6
229,15770.9,15685.6,19912.3
230,15739.2,15685.6,17867.6
231,15640.3,15640.3,18599.5
232,15600.5,15600.5,19358
233,15542.9,15542.9,18992.6
234,15574.9,15542.9,19962.6
235,15609.4,15542.9,19281.8
236,15416.7,15416.7,19780.2
237,15388,15388,17926.7
238,15331.6,15331.6,18505.9
239,15202.7,15202.7,19896.8
240,15087.2,15087.2,18573.4
241,15185.1,15087.2,17982.1
242,15204.6,15087.2,18902.8
243,15137.7,15087.2,17966.5
244,15108.4,15087.2,18179.4
245,15120.6,15087.2,19356.9
246,15203.6,15087.2,18006.7
247,15295.9,15087.2,18750.9
248,15306.4,15087.2,18817.8
249,15331.7,15087.2,18425.5
250,15369.7,15087.2,19076.8
251,14956.9,14956.9,17990
252,14961.7,14956.9,17481.6
253,15030,14956.9,18842.3
254,15055.4,14956.9,18657.3
255,15016,14956.9,18477.8
256,14658.3,14658.3,19129.1
257,14783.9,14658.3,18487
258,14959.4,14658.3,17937.1
259,14988.4,14658.3,18535.1
260,15084.6,14658.3,18592.2
261,15629.6,14658.3,19143
262,15562.5,14658.3,18314.4
263,15592.2,14658.3,18355.7
264,15561.3,14658.3,19193.4
265,15395,14658.3,18680.5
266,15324.8,14658.3,17421.1
267,15455.2,14658.3,18487.4
268,15361.5,14658.3,17772.9
269,15182.2,14658.3,19612.6
270,15539.9,14658.3,18978.7
271,15408.3,14658.3,17501.9
272,15155,14658.3,18424.8
273,15070.6,14658.3,17393.8
274,15155,14658.3,19321.7
275,15593.5,14658.3,18545.9
276,15574.9,14658.3,19068
277,15667.5,14658.3,19202.6
278,15877.3,14658.3,19038.4
279,15983.7,14658.3,19269.4
280,16052.5,14658.3,18581.3
281,16046.3,14658.3,19304
282,15979.3,14658.3,19890
283,16078,14658.3,19506.4
284,16070.9,14658.3,18973.9
285,15992.5,14658.3,18662.3
286,16033.5,14658.3,20283.5
287,16501.9,14658.3,18892.5
288,16525.6,14658.3,19840.4
289,16606.2,14658.3,19461.3
290,16306.3,14658.3,19206.3
291,16393.6,14658.3,18727.2
292,16537.3,14658.3,20017.4
293,16487.9,14658.3,18905.7
294,16502.4,14658.3,18975.7
295,16680.6,14658.3,19973.6
296,16513.4,14658.3,21154.9
297,16528.2,14658.3,19264.2
298,16455.5,14658.3,20188.1
299,16450.6,14658.3,20945.7
300,16419.6,14658.3,18709.3
301,16332.3,14658.3,19017.2
302,16278.8,14658.3,19129.5
303,16504,14658.3,20267.2
304,16554.8,14658.3,19627.4
305,16569.7,14658.3,21043.1
306,16571,14658.3,20215.1
307,16646.7,14658.3,18744.2
308,16644.7,14658.3,19367.1
309,16662.8,14658.3,18475.9
310,16596.5,14658.3,19961.5
311,16608.9,14658.3,19669.8
