generation,best,bestEver
0,7291.52,7291.52
1,8171.07,7291.52
2,8088.3,7291.52
3,7218.96,7218.96
4,8088.3,7218.96
5,7316.4,7218.96
6,6915,6915
7,7316.4,6915
8,8088.3,6915
9,8171.07,6915
10,7246.74,6915
11,6917.9,6915
12,7246.74,6915
13,6850.2,6850.2
14,6573.54,6573.54
15,6850.2,6573.54
16,7246.74,6573.54
17,7245.82,6573.54
18,6669.24,6573.54
19,7245.82,6573.54
20,7246.74,6573.54
21,4659.93,4659.93
22,4615.43,4615.43
23,4659.93,4615.43
24,7246.74,4615.43
25,7236.88,4615.43
26,6933.91,4615.43
27,7236.88,4615.43
28,7246.74,4615.43
29,5357.25,4615.43
30,7246.74,4615.43
31,8171.07,4615.43
32,8397.04,4615.43
33,7517.18,4615.43
34,7188.33,4615.43
35,7517.18,4615.43
36,8397.04,4615.43
37,7738.03,4615.43
38,7461.37,4615.43
39,7738.03,4615.43
40,7324.77,4615.43
41,7203.43,4615.43
42,7324.77,4615.43
43,7211.29,4615.43
44,6624.5,4615.43
45,7211.29,4615.43
46,7159.1,4615.43
47,6527.99,4615.43
48,7159.1,4615.43
49,7211.29,4615.43
50,7324.77,4615.43
51,7738.03,4615.43
52,8397.04,4615.43
53,8171.07,4615.43
54,7737.78,4615.43
55,7461.13,4615.43
56,7737.78,4615.43
57,7324.53,4615.43
58,7203.19,4615.43
59,7324.53,4615.43
60,7737.78,4615.43
61,8171.07,4615.43
62,8612.42,4615.43
63,7943.22,4615.43
64,7531.42,4615.43
65,7943.22,4615.43
66,8612.42,4615.43
67,7986.38,4615.43
68,7224.67,4615.43
69,7986.38,4615.43
70,7746.49,4615.43
71,7986.38,4615.43
72,7716.49,4615.43
73,7387.64,4615.43
74,7716.49,4615.43
75,7986.38,4615.43
76,7327.36,4615.43
77,7050.7,4615.43
78,7327.36,4615.43
79,6914.11,4615.43
80,6792.76,4615.43
81,6914.11,4615.43
82,7327.36,4615.43
83,7986.38,4615.43
84,7825.16,4615.43
85,6945.61,4615.43
86,7825.16,4615.43
87,7742.39,4615.43
88,6873.06,4615.43
89,7742.39,4615.43
90,7584.93,4615.43
91,7742.39,4615.43
92,7463.34,4615.43
93,7152.65,4615.43
94,7463.34,4615.43
95,7132.86,4615.43
96,6967.27,4615.43
97,7132.86,4615.43
98,7463.34,4615.43
99,7742.39,4615.43
100,7825.16,4615.43
101,7510.56,4615.43
102,7181.71,4615.43
103,7510.56,4615.43
104,7114.02,4615.43
105,6837.36,4615.43
106,7114.02,4615.43
107,7510.56,4615.43
108,7229.51,4615.43
109,7510.56,4615.43
110,7500.69,4615.43
111,7197.73,4615.43
112,7500.69,4615.43
113,7510.56,4615.43
114,7825.16,4615.43
115,7986.38,4615.43
116,6756.9,4615.43
117,7986.38,4615.43
118,7970.12,4615.43
119,7667.16,4615.43
120,7970.12,4615.43
121,6363.25,4615.43
122,6161.6,4615.43
123,6363.25,4615.43
124,7970.12,4615.43
125,7986.38,4615.43
126,7473.53,4615.43
127,7986.38,4615.43
